CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
031780002024091910;03178000;19/09/2024;5856;IBD;15.2
031769452024091810;03176945;18/09/2024;5856;IBD;12.2
031740002024091710;03174000;17/09/2024;5856;IBD;14.6
032543702024091310;03254370;13/09/2024;5856;IBD;11.9
031903002024091010;03190300;10/09/2024;5856;IBD;14.4
032324502024083010;03232450;30/08/2024;5856;IBD;14.3
032286902024082810;03228690;28/08/2024;5856;IBD;11.2
041107002024082710;04110700;27/08/2024;5856;IBD;15.3
041231002024082710;04123100;27/08/2024;5856;IBD;16.8
032339802024082710;03233980;27/08/2024;5856;IBD;15.1
041237602024082710;04123760;27/08/2024;5856;IBD;16.7
041155802024082610;04115580;26/08/2024;5856;IBD;13.2
041156752024082610;04115675;26/08/2024;5856;IBD;14.7
031750002024082210;03175000;22/08/2024;5856;IBD;15.3
031917002024082110;03191700;21/08/2024;5856;IBD;15.1
032050002024082010;03205000;20/08/2024;5856;IBD;15.9
032415902024081410;03241590;14/08/2024;5856;IBD;14.5
032719652024081410;03271965;14/08/2024;5856;IBD;13.7
032504752024081410;03250475;14/08/2024;5856;IBD;14.1
032726852024081410;03272685;14/08/2024;5856;IBD;11.1
032504302024081410;03250430;14/08/2024;5856;IBD;11
032656002024081310;03265600;13/08/2024;5856;IBD;14.6
032657102024081310;03265710;13/08/2024;5856;IBD;15.3
032507972024081310;03250797;13/08/2024;5856;IBD;13.9
032659932024081310;03265993;13/08/2024;5856;IBD;14
032714152024081310;03271415;13/08/2024;5856;IBD;12.6
032484012024081310;03248401;13/08/2024;5856;IBD;12.6
032694382024081310;03269438;13/08/2024;5856;IBD;13.4
032472102024081310;03247210;13/08/2024;5856;IBD;10.6
032551802024081210;03255180;12/08/2024;5856;IBD;14.9
032700002024081210;03270000;12/08/2024;5856;IBD;14.3
032649652024081210;03264965;12/08/2024;5856;IBD;14.8
032710002024081210;03271000;12/08/2024;5856;IBD;9.4
032703902024081210;03270390;12/08/2024;5856;IBD;13
032556502024081210;03255650;12/08/2024;5856;IBD;13.9
031746952024080810;03174695;08/08/2024;5856;IBD;12.7
031786602024080610;03178660;06/08/2024;5856;IBD;14.4
031801002024080610;03180100;06/08/2024;5856;IBD;15.3
031788352024080610;03178835;06/08/2024;5856;IBD;15.9
032263002024080510;03226300;05/08/2024;5856;IBD;15.7
032232002024080510;03223200;05/08/2024;5856;IBD;15.1
032227802024080510;03222780;05/08/2024;5856;IBD;15.9
032224182024080510;03222418;05/08/2024;5856;IBD;14.2
032040002024080110;03204000;01/08/2024;5856;IBD;14.9
032266402024073010;03226640;30/07/2024;5856;IBD;14.3
032265402024073010;03226540;30/07/2024;5856;IBD;15.5
032260002024073010;03226000;30/07/2024;5856;IBD;14.9
032197802024073010;03219780;30/07/2024;5856;IBD;14.3
032317402024073010;03231740;30/07/2024;5856;IBD;13.8
032271002024073010;03227100;30/07/2024;5856;IBD;13.3
032349562024072910;03234956;29/07/2024;5856;IBD;16.1
032320802024072910;03232080;29/07/2024;5856;IBD;15.4
032310652024072910;03231065;29/07/2024;5856;IBD;18.2
032314902024072910;03231490;29/07/2024;5856;IBD;14.6
032367302024072910;03236730;29/07/2024;5856;IBD;12.9
032411702024072910;03241170;29/07/2024;5856;IBD;14.4
032174002024072510;03217400;25/07/2024;5856;IBD;15.7
032120902024072510;03212090;25/07/2024;5856;IBD;15.2
032142402024072510;03214240;25/07/2024;5856;IBD;15.6
032170002024072510;03217000;25/07/2024;5856;IBD;15.2
032160002024072510;03216000;25/07/2024;5856;IBD;12.6
032070202024072410;03207020;24/07/2024;5856;IBD;16.3
032022502024072310;03202250;23/07/2024;5856;IBD;15.3
041110002024072210;04111000;22/07/2024;5856;IBD;14.9
031970002024071110;03197000;11/07/2024;5856;IBD;13.2
031985302024071110;03198530;11/07/2024;5856;IBD;15
031946202024071010;03194620;10/07/2024;5856;IBD;15.6
032215002024071010;03221500;10/07/2024;5856;IBD;15.6
031992002024070910;03199200;09/07/2024;5856;IBD;14.9
032419572024070510;03241957;05/07/2024;5856;IBD;14.4
032451002024070510;03245100;05/07/2024;5856;IBD;15.4
032363952024070410;03236395;04/07/2024;5856;IBD;12.2
032346502024070310;03234650;03/07/2024;5856;IBD;15.1
032342152024070310;03234215;03/07/2024;5856;IBD;15.5
